service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
GCLR 24_25-36993,0,0,0,0,1,0,0,20240906,20241025
GCLR 24_25-36991,1,1,1,1,0,0,0,20240829,20241028
GCLR 24_25-36990,0,0,0,0,0,1,0,20240907,20241026
GCLR 24_25-36992,0,0,0,0,0,0,1,20240908,20241027
ATS_SBL 24-37419,0,0,0,0,0,1,0,20240907,20240907
ATS_SBL 24-37421,0,0,0,0,0,0,1,20240908,20240908
EVENT24_25-37433,0,0,0,0,0,0,1,20240908,20240908
BBL 24_25-36196,1,1,1,1,1,0,0,20240829,20241028
BCC 24_25-36507,0,0,0,0,1,0,0,20240830,20241025
BCC 24_25-36508,1,1,1,1,0,0,0,20240829,20241028
BCC 24_25-36506,0,0,0,0,0,1,0,20240907,20241026
BCC 24_25-36505,0,0,0,0,0,0,1,20240901,20241027
CBL 24_25-36450,1,1,1,1,1,0,0,20240829,20241028
CBL 24_25-36450-0001000,0,0,0,1,0,0,0,20240829,20241028
CBL 24_25-36456,1,1,1,1,1,0,0,20240916,20240927
CBL 24_25-36456-0001000,0,0,0,1,0,0,0,20240916,20240927
CBL 24_25-36451,0,0,0,0,1,0,0,20240830,20240830
CBL 24_25-36452,0,0,0,0,0,1,0,20240831,20241026
CBL 24_25-36455,0,0,0,0,0,0,1,20240901,20241027
ATS_TBS 24-37346,1,1,1,1,1,0,0,20240920,20240920
ATS_TBS 24-37347,1,1,1,1,1,0,0,20240916,20240919
ATS_TBS 24-37384,1,1,1,1,1,0,0,20240927,20240927
ATS_TBS 24-37387,1,1,1,1,1,0,0,20240923,20240926
ATS_TBS 24-37517,1,1,1,1,1,0,0,20240902,20240903
ATS_TBS 24-37516,1,1,1,1,1,0,0,20240909,20240910
ATS_TBS 24-36355,1,1,1,1,1,0,0,20240904,20240904
ATS_TBS 24-37388,0,0,0,0,0,1,0,20240921,20240921
ATS_TBS 24-37383,0,0,0,0,0,1,0,20240928,20240928
ATS_TBS 24-37349,0,0,0,0,0,1,0,20240914,20240914
ATS_TBS 24-37386,0,0,0,0,0,0,1,20240922,20240922
ATS_TBS 24-37348,0,0,0,0,0,0,1,20240915,20240915
ATS_TBS 24-37385,0,0,0,0,0,0,1,20240929,20240929
ATS_TBS 24-37426,0,0,0,0,0,0,1,20240901,20240901
BT 24_25-37538,1,1,1,1,1,0,0,20240923,20240927
BT 24_25-37538-0000100,0,0,0,0,1,0,0,20240923,20240927
BT 24_25-37538-1111000,1,1,1,1,0,0,0,20240923,20240927
ATS_MGB 24-35256,1,1,1,1,1,0,0,20240911,20240911
GCLR 24_25-37393,0,0,0,0,1,0,0,20240830,20240830
GCLR 24_25-37394,0,0,0,0,0,0,1,20240901,20240901
GCLR 24_25-37395,0,0,0,0,0,1,0,20240831,20240831
HBL 24_25-37067,0,0,0,0,1,0,0,20240906,20241025
