service_id,date,exception_type
BBL 24_25-36196,20241007,2
BCC 24_25-36508,20241007,2
BCC 24_25-36505,20241007,1
CBL 24_25-36450,20240830,2
CBL 24_25-36450-0001000,20240830,2
CBL 24_25-36450,20240916,2
CBL 24_25-36450-0001000,20240916,2
CBL 24_25-36450,20240917,2
CBL 24_25-36450-0001000,20240917,2
CBL 24_25-36450,20240918,2
CBL 24_25-36450-0001000,20240918,2
CBL 24_25-36450,20240919,2
CBL 24_25-36450-0001000,20240919,2
CBL 24_25-36450,20240920,2
CBL 24_25-36450-0001000,20240920,2
CBL 24_25-36450,20240923,2
CBL 24_25-36450-0001000,20240923,2
CBL 24_25-36450,20240924,2
CBL 24_25-36450-0001000,20240924,2
CBL 24_25-36450,20240925,2
CBL 24_25-36450-0001000,20240925,2
CBL 24_25-36450,20240926,2
CBL 24_25-36450-0001000,20240926,2
CBL 24_25-36450,20240927,2
CBL 24_25-36450-0001000,20240927,2
CBL 24_25-36450,20241007,2
CBL 24_25-36450-0001000,20241007,2
CBL 24_25-36455,20241007,1
HBL 24_25-37067,20240920,2
HBL 24_25-37067,20240927,2
HBL 24_25-37064,20240916,2
HBL 24_25-37064,20240917,2
HBL 24_25-37064,20240918,2
HBL 24_25-37064,20240919,2
HBL 24_25-37064,20240923,2
HBL 24_25-37064,20240924,2
HBL 24_25-37064,20240925,2
HBL 24_25-37064,20240926,2
HBL 24_25-37064,20241007,2
HBL 24_25-37065,20240906,2
HBL 24_25-37065,20240913,2
HBL 24_25-37058,20241007,1
KBL 24_25-36463,20240830,2
KBL 24_25-36463-1111000,20240830,2
KBL 24_25-36463-0000100,20240830,2
KBL 24_25-37359,20240916,2
KBL 24_25-37359,20240917,2
KBL 24_25-37359,20240918,2
KBL 24_25-37359,20240919,2
KBL 24_25-37359,20240920,2
KBL 24_25-37359,20240923,2
KBL 24_25-37359,20240924,2
KBL 24_25-37359,20240925,2
KBL 24_25-37359,20240926,2
KBL 24_25-37359,20240927,2
KBL 24_25-37359,20241007,2
KBL 24_25-37362,20241007,1
LCBS 24_25-37477,20240916,2
LCBS 24_25-37477-0000100,20240916,2
LCBS 24_25-37477-0001000,20240916,2
LCBS 24_25-37477,20240917,2
LCBS 24_25-37477-0000100,20240917,2
LCBS 24_25-37477-0001000,20240917,2
LCBS 24_25-37477,20240918,2
LCBS 24_25-37477-0000100,20240918,2
LCBS 24_25-37477-0001000,20240918,2
LCBS 24_25-37477,20240919,2
LCBS 24_25-37477-0000100,20240919,2
LCBS 24_25-37477-0001000,20240919,2
LCBS 24_25-37477,20240920,2
LCBS 24_25-37477-0000100,20240920,2
LCBS 24_25-37477-0001000,20240920,2
LCBS 24_25-37477,20240923,2
LCBS 24_25-37477-0000100,20240923,2
LCBS 24_25-37477-0001000,20240923,2
LCBS 24_25-37477,20240924,2
LCBS 24_25-37477-0000100,20240924,2
LCBS 24_25-37477-0001000,20240924,2
LCBS 24_25-37477,20240925,2
LCBS 24_25-37477-0000100,20240925,2
LCBS 24_25-37477-0001000,20240925,2
LCBS 24_25-37477,20240926,2
LCBS 24_25-37477-0000100,20240926,2
LCBS 24_25-37477-0001000,20240926,2
LCBS 24_25-37477,20240927,2
LCBS 24_25-37477-0000100,20240927,2
LCBS 24_25-37477-0001000,20240927,2
LCBS 24_25-37477,20241007,2
LCBS 24_25-37477-0000100,20241007,2
LCBS 24_25-37477-0001000,20241007,2
LCBS 24_25-37481,20241007,1
LOGC 24_25-36375,20241007,2
MGB 24_25-36381,20240830,2
MGB 24_25-36381,20240916,2
MGB 24_25-36381,20240917,2
MGB 24_25-36381,20240918,2
MGB 24_25-36381,20240919,2
MGB 24_25-36381,20240920,2
MGB 24_25-36381,20240923,2
MGB 24_25-36381,20240924,2
MGB 24_25-36381,20240925,2
MGB 24_25-36381,20240926,2
MGB 24_25-36381,20240927,2
MGB 24_25-36380,20240902,2
MGB 24_25-36380,20240903,2
MGB 24_25-36380,20240904,2
MGB 24_25-36380,20240905,2
MGB 24_25-36380,20240906,2
